secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
168,91,175,1.45673,30.096,0,279,10.6,-0.57004393,44.84920489,0,1.65878,8,0,52,74.5,66,21,18.5,0,0,0,0
169,91,175,1.46527,30.3336,0,279,10.8,-0.57001443,44.84927882,0,1.6523,8,0,43,74.5,66,21,18.5,0,0,0,0
170,92,175,1.4738,30.4668,0,237,11,-0.56998392,44.84935249,0,1.64609,8,0,43,71.5,78.5,16.5,21,0,0,0,0
171,92,175,1.48243,30.4668,0,215,11,-0.56995207,44.84942676,0,1.40513,8,0,53,72.5,69,19,20,0,0,0,0
172,92,176,1.49094,30.096,0,227,10.4,-0.56992038,44.84949993,0,0.700075,8,0,54,70.5,69,18,18,0,0,0,0
173,92,175,1.49926,28.9224,0,250,9.8,-0.56988820,44.84957118,0,0.217016,8,0,54,72,69,22,18,0,0,0,0
174,93,175,1.50756,29.8944,0,250,9.4,-0.56985634,44.84964242,0,-0.73661,8,0,47,72,69,22,18,0,0,0,0
175,94,175,1.51602,30.87,0,265,9.2,-0.56982726,44.84971568,0,-1.20666,8,0,47,74,61.5,20.5,17.5,0,0,0,0
176,93,175,1.52456,30.636,0,229,9.2,-0.56979516,44.84978902,0,-1.44003,8,0,52,72.5,61.5,19,17.5,0,0,0,0
177,92,175,1.53313,30.4992,0,214,9.4,-0.56975601,44.84986102,0,-1.20666,8,0,54,77,69,21.5,17.5,0,0,0,0
178,92,175,1.5416,30.132,0,235,9.4,-0.56971570,44.84993160,0,-1.44251,8,0,54,68.5,68.5,18,18.5,0,0,0,0
179,91,175,1.5497,29.9304,0,235,9.6,-0.56967504,44.84999849,0,-1.42979,8,0,54,68.5,68.5,18,18.5,0,0,0,0
180,90,175,1.55792,29.592,0,227,9.4,-0.56963263,44.85006605,0,-1.90756,8,0,54,74,59.5,21,15,0,0,0,0
181,90,175,1.56618,29.592,0,235,9.2,-0.56959005,44.85013394,0,-2.14969,8,0,57,78,64,22.5,17.5,0,0,0,0
182,90,175,1.57434,29.592,0,244,9.2,-0.56954655,44.85020058,0,-1.44464,8,0,52,78.5,72,21.5,19,0,0,0,0
183,89,175,1.58247,29.2572,0,244,8.6,-0.56950137,44.85026629,0,-1.4615,8,0,56,78.5,72,21.5,19,0,0,0,0
184,88,175,1.59052,29.0556,0,252,8.2,-0.56945602,44.85033108,0,-1.47646,8,0,56,79,74,21.5,19.5,0,0,0,0
185,86,174,1.59842,28.2168,0,250,8.2,-0.56941051,44.85039445,0,-1.24006,8,0,61,79.5,74,22,18.5,0,0,0,0
186,75,174,1.60605,27.612,0,195,8.6,-0.56935770,44.85045212,0,-0.715809,8,0,54,79.5,65.5,23,17,0,0,0,0
187,75,175,1.61361,27.378,0,290,9,-0.56929945,44.85050618,0,-0.420081,8,0,58,70,75,17.5,20.5,0,0,0,0
188,85,174,1.62129,28.1484,0,290,9,-0.56924505,44.85056343,0,-0.420081,8,0,51,70,75,17.5,20.5,0,0,0,0
189,86,174,1.62917,28.5192,0,253,9,-0.56919241,44.85062369,0,-0.666995,8,0,51,80,79.5,23,23,0,0,0,0
190,87,174,1.63726,29.2248,0,234,9.2,-0.56913927,44.85068589,0,-0.176467,8,0,59,76.5,80,20.5,22,0,0,0,0
191,88,174,1.64528,28.6848,0,244,9.4,-0.56908538,44.85074708,0,0.31504,8,0,56,75.5,64.5,21,17,0,0,0,0
192,88,174,1.65336,29.3256,0,238,9.8,-0.56903048,44.85080843,0,0.81009,8,0,53,75.5,71.5,21.5,18.5,0,0,0,0
193,89,173,1.66162,29.6928,0,238,10,-0.56897406,44.85087096,0,1.79023,8,0,53,74,67.5,19,17,0,0,0,0
194,89,173,1.66992,29.7612,0,229,10,-0.56891564,44.85093299,0,2.28712,8,0,53,74,67.5,19,17,0,0,0,0
195,84,173,1.67829,30.096,0,240,10,-0.56885588,44.85099518,0,2.28712,7,0,54,76.5,64,20.5,15,0,0,0,0
